Song name,Patterns,Patterns.1,Patterns.2,Patterns.3,Patterns.4,Labeler,Accuracy
Blood of Ganon,16th Hand-Streams,Irregular Trills,24th Jump-Trills,24th Streams,16th Mini-Jacks,rushyrulz,Certain
Lunar Saturation,16th Jump-Streams,16th Split-Jump-Trills,24th Bursts, , ,rushyrulz,Certain
Ingenuity,16th Triplets,16th Trills,8th Streams, , ,rushyrulz,Certain
Ramua,16th Jump-Streams,32nd Bursts, , , ,rushyrulz,Certain
Elements,16th Jump-Streams,16th Streams,16th Triplets, , ,rushyrulz,Certain
Ascension for Owls,16th Jump-Gluts,32nd Bursts,16th Split-Jump-Trills,32nd Rolls,16th Mini-Jacks,rushyrulz,Certain
CRASH the BEAT!,16th Jump-Streams,24th Bursts,32nd Rolls,16th Triplets, ,rushyrulz,Certain
The Candy Corn Witch,16th Jump-Streams,16th Triplets,32nd Rolls,32nd Flams, ,rushyrulz,Certain
Excite Bike [Light],16th Streams, , , , ,jh05013,Certain
Forgot Ya,32nd Bursts,16th Jump-Streams,32nd Rolls,16th Gallops, ,rushyrulz,Certain
